"","x"
"vegetable_oils",343
"cyanocobalamin",330
"baking_soda",397
"monosodium_glutamate",362
"dipotassium_phosphate",371
"peanut_butter",335
"margarine",375
"spinach",376
"silicon_dioxide",393
"coconut",383
"blue_1",369
"shrimp",310
"flavoring",392
"carrots",382
"potato_starch",398
"monoglycerides",398
"fructose",392
"apples",375
"antioxidant",371
"artificial_colors",331
"butter",398
"cashews",350
"ginger",386
"kale",284
"soy_protein",379
"fumaric_acid",343
"nonfat_milk_solids",369
"folic_acid",399
"granulated_garlic",342
"cocoa_mass",286
"powdered_sugar",301
"a_preservative",356
"cheese_cultures",387
"chocolate_chips",290
"vitamin_c",386
"jalapeno_peppers",354
"ferrous_sulfate",383
"brown_rice_syrup",305
"an_emulsifier",329
"black_beans",297
"cumin",331
"milk_protein_concentrate",370
"cheese",361
"anticaking_agent",359
"ascorbic_acid",399
"sodium_bicarbonate",399
"palm",381
"pepper",343
"broccoli",350
"turmeric",399
"monocalcium_phosphate",397
"parsley",377
"egg_yolks",389
"potato",350
"pecans",337
"malted_barley_flour",399
"cinnamon",392
"annatto_ct",386
"palm_kernel_oil",355
"carrot",383
"potatoes",373
"caramel",388
"ctives_of_paprika",344
"cellulose_gum",391
"cilantro",348
"shortening",363
"lemon_juice_concentrate",389
"annatto",398
"alcohol",369
"tbhq",368
"riboflavin",399
"corn_flour",397
"cottonseed_oil",396
"corn_meal",367
"spices",399
"cane_syrup",372
"pork",378
"propylene_glycol",373
"apple_cider_vinegar",342
"cornstarch",399
"palm_oil",399
"lemon_oil",372
"skim_milk",398
"sulfites",364
"high_fructose_corn_syrup",398
"soy_lecithin",399
"milk_fat",354
"seasoning",375
"cranberries",371
"calcium_disodium_edta",362
"chicken_broth",329
"vegetable_oil",399
"sodium_citrate",397
"raisins",360
"carob_bean_gum",383
"thiamine_mononitrate",399
"malic_acid",392
"acesulfame_potassium",278
"parmesan_cheese",352
"palm_kernel",331
"pectin",385
"mayonnaise",311
"filling",371
"pumpkin_seeds",307
"locust_bean_gum",394
"sodium_phosphate",393
"vitamin_a",364
"sea_salt",399
"rosemary",324
"unsalted_butter",353
"dextrin",362
"nonfat_milk_powder",351
"calcium_carbonate",391
"disodium_guanylate",364
"red_pepper",377
"cayenne_pepper",350
"tomato_paste",379
"cane_juice",369
"calcium_sulfate",397
"mustard_seed",350
"lactose",391
"chocolate",308
"mushrooms",312
"sodium_aluminum_phosphate",360
"color_added",368
"mixed_tocopherols",344
"minerals",291
"part_skim_milk",329
"inulin",357
"confectioners_glaze",272
"tapioca_syrup",295
"thiamin_mononitrate",399
"grain_oats",303
"polysorbate_80",368
"whey",399
"lemon",345
"soybean_oil",399
"glycerine",341
"red_peppers",338
"gum_arabic",395
"milk_chocolate",301
"enzyme",380
"sunflower_seeds",341
"wheat",399
"vanilla_ct",345
"glucose_syrup",341
"potato_flour",375
"cherries",329
"quinoa",317
"smoke_flavor",373
"phosphoric_acid",379
"chicken",347
"hydrolyzed_corn_protein",328
"starch",389
"tomato_puree",347
"pineapple",373
"lecithin",375
"soybean",399
"thiamin",370
"of",392
"annatto_color",378
"processed__alkali",333
"disodium_inosinate",364
"red_bell_peppers",352
"glucose",351
"invert_sugar",356
"cream_cheese",371
"natamycin",330
"skim_milk_powder",351
"sodium_acid_pyrophosphate",398
"datem",358
"nutmeg",377
"sodium_erythorbate",357
"chicken_breast__rib_meat",325
"crust",314
"egg_yolk",375
"wheat_gluten",395
"peanut",319
"sodium_diacetate",344
"one_or",367
"safflower",345
"vitamin_b12",352
"sorbic_acid",392
"bread_crumbs",333
"sodium_alginate",379
"mustard_flour",327
"oat_flour",333
"emulsifiers",307
"vinegar",394
"fruit",350
"dark_chocolate",294
"calcium_lactate",333
"vitamin_a_palmitate",393
"oat_fiber",370
"rice_starch",383
"sunflower",391
"sodium_stearoyl_lactylate",366
"soy_flour",398
"red_40_lake",326
"soy_protein_concentrate",368
"vegetables",331
"tomatoes",376
"spice",397
"sauce",323
"torula_yeast",340
"rennet",321
"titanium_dioxide",384
"paprika_ct",361
"vanillin",300
"green_bell_peppers",331
"sucrose",348
"niacinamide",362
"preservatives",391
"vegetable_juice",303
"thyme",292
"soy",397
"spice_ctives",358
"sodium_phosphates",341
"stabilizers",361
"safflower_oil",378
"walnuts",356
"soya_lecithin",304
"oregano",353
"red_bell_pepper",356
"sodium_nitrite",352
"powdered_cellulose",332
"pasta",307
"unsweetened_chocolate",298
"sunflower_lecithin",365
"vitamin_e",373
"sodium_lactate",328
"polysorbate_60",347
"sucralose",361
"vitamin_b1",384
"red_3",314
"xanthan_gum",399
"whey_powder",391
"vanilla",359
"sour_cream",366
"vanilla_flavor",322
"strawberries",310
"romano_cheese",341
"sodium_caseinate",387
"white_wine",317
"slat",381
"tomato",362
"stabilizer",366
"sodium_ascorbate",370
"yeast_ct",388
"wheat_starch",396
"tartaric_acid",356
"thiamine",364
"sodium_tripolyphosphate",338
"tomato_juice",325
"vegetable_shortening",372
"to_prevent_caking",331
"vitamin_d3",368
"whey_protein_concentrate",393
"vitamin_b2",382
"wheat_bran",325
"yeast",399
"white_vinegar",344
"yellow_6",381
"white_pepper",328
"yellow_5",384
"xanthan",372
"zinc_oxide",341
"yellow_corn_flour",368
